table_name,xbrl_factoid,in_rate_base,utility_type,plant_status,plant_function,notes
core_ferc1__yearly_balance_sheet_assets_sched110,prepayments,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,rents_receivable,False,,,,"Revenue in this case comes from rents, not from ratepayers."
core_ferc1__yearly_balance_sheet_assets_sched110,research_development_and_demonstration_expenditures,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,residuals,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,sinking_funds,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_deposits,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_funds,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_funds_all,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,spent_nuclear_fuel_major_only,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,stores_expense_undistributed,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,temporary_cash_investments,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,temporary_facilities,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unamortized_debt_expense,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unamortized_loss_on_reacquired_debt,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unrecovered_plant_and_regulatory_study_costs,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unrecovered_purchased_gas_costs,True,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,working_funds,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accounts_payable,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accounts_payable_to_associated_companies,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes_accelerated_amortization_property,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes_other,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes_other_property,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_investment_tax_credits,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_miscellaneous_operating_provisions,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_other_comprehensive_income,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_provision_for_injuries_and_damages,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_provision_for_pensions_and_benefits,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_provision_for_property_insurance,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_provision_for_rate_refunds,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,advances_from_associated_companies,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,asset_retirement_obligations,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,bonds,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,capital_stock_expense,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,capital_stock_subscribed,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,common_stock_issued,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,customer_advances_for_construction,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,customer_deposits,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,deferred_gains_from_disposition_of_utility_plant,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,derivative_instrument_liabilities_hedges,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,derivatives_instrument_liabilities,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,discount_on_capital_stock,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,dividends_declared,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,installments_received_on_capital_stock,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,interest_accrued,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,less_long_term_portion_of_derivative_instrument_liabilities,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,less_long_term_portion_of_derivative_instrument_liabilities_hedges,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,long_term_portion_of_derivative_instrument_liabilities,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,long_term_portion_of_derivative_instrument_liabilities_hedges,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,matured_interest,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,matured_long_term_debt,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,miscellaneous_current_and_accrued_liabilities,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,noncorporate_proprietorship,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,notes_payable,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,notes_payable_to_associated_companies,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,obligations_under_capital_lease_noncurrent,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,obligations_under_capital_leases_current,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,other_deferred_credits,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,other_long_term_debt,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,other_paid_in_capital,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,other_regulatory_liabilities,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,preferred_stock_issued,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,premium_on_capital_stock,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,reacquired_bonds,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,reacquired_capital_stock,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,stock_liability_for_conversion,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,tax_collections_payable,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,taxes_accrued,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,unamortized_discount_on_long_term_debt_debit,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,unamortized_gain_on_reacquired_debt,True,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,unamortized_premium_on_long_term_debt,False,,,,
core_ferc1__yearly_depreciation_by_function_sched219,accumulated_depreciation,False,,future,,
core_ferc1__yearly_depreciation_by_function_sched219,accumulated_depreciation,True,,in_service,,
core_ferc1__yearly_depreciation_by_function_sched219,accumulated_depreciation,True,,leased,,
core_ferc1__yearly_plant_in_service_sched204,accessory_electric_equipment_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,accessory_electric_equipment_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,accessory_electric_equipment_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,accessory_electric_equipment_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_distribution_plant_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_general_plant_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,production_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_hydraulic_production_plant_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_nuclear_production_plant_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_other_production_plant_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_regional_transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_steam_production_plant_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,asset_retirement_costs_for_transmission_plant_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,boiler_plant_equipment_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,communication_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,communication_equipment_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,computer_hardware_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,computer_software_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,electric_plant_purchased,True,,,,
core_ferc1__yearly_plant_in_service_sched204,electric_plant_sold,True,,,,
core_ferc1__yearly_plant_in_service_sched204,energy_storage_equipment_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,energy_storage_equipment_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,energy_storage_equipment_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,engines_and_engine_driven_generators_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,experimental_electric_plant_unclassified,True,,,,
core_ferc1__yearly_plant_in_service_sched204,franchises_and_consents,True,,,,
core_ferc1__yearly_plant_in_service_sched204,fuel_holders_products_and_accessories_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,generators_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,installations_on_customer_premises_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,laboratory_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,land_and_land_rights_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,leased_property_on_customer_premises_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,line_transformers_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,meters_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_intangible_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_power_plant_equipment_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_power_plant_equipment_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_power_plant_equipment_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_power_plant_equipment_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,miscellaneous_regional_transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,office_furniture_and_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,organization,True,,,,
core_ferc1__yearly_plant_in_service_sched204,other_tangible_property_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,overhead_conductors_and_devices_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,overhead_conductors_and_devices_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,poles_and_fixtures_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,poles_towers_and_fixtures_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,power_operated_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,prime_movers_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,reactor_plant_equipment_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,reservoirs_dams_and_waterways_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,roads_and_trails_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,roads_railroads_and_bridges_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,services_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,station_equipment_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,station_equipment_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,stores_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,street_lighting_and_signal_systems_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_hydraulic_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_other_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_regional_transmission_and_market_operation_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,structures_and_improvements_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,tools_shop_and_garage_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,towers_and_fixtures_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,transportation_equipment_general_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,turbogenerator_units_nuclear_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,turbogenerator_units_steam_production,True,,,,
core_ferc1__yearly_plant_in_service_sched204,underground_conductors_and_devices_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,underground_conductors_and_devices_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,underground_conduit_distribution_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,underground_conduit_transmission_plant,True,,,,
core_ferc1__yearly_plant_in_service_sched204,water_wheels_turbines_and_generators_hydraulic_production,True,,,,
core_ferc1__yearly_retained_earnings_sched118,adjustments_to_retained_earnings_credit,False,,,,
core_ferc1__yearly_retained_earnings_sched118,adjustments_to_retained_earnings_debit,False,,,,
core_ferc1__yearly_retained_earnings_sched118,appropriated_retained_earnings,False,,,,
core_ferc1__yearly_retained_earnings_sched118,appropriated_retained_earnings_amortization_reserve_federal,False,,,,
core_ferc1__yearly_retained_earnings_sched118,appropriations_of_retained_earnings,False,,,,
core_ferc1__yearly_retained_earnings_sched118,balance_transferred_from_income,False,,,,
core_ferc1__yearly_retained_earnings_sched118,changes_unappropriated_undistributed_subsidiary_earnings_credits,False,,,,
core_ferc1__yearly_retained_earnings_sched118,dividends_declared_common_stock,False,,,,
core_ferc1__yearly_retained_earnings_sched118,dividends_declared_preferred_stock,False,,,,
core_ferc1__yearly_retained_earnings_sched118,dividends_received,False,,,,
core_ferc1__yearly_retained_earnings_sched118,equity_in_earnings_of_subsidiary_companies,False,,,,
core_ferc1__yearly_retained_earnings_sched118,transfers_from_unappropriated_undistributed_subsidiary_earnings,False,,,,
core_ferc1__yearly_retained_earnings_sched118,unappropriated_retained_earnings_previous_year,False,,,,
core_ferc1__yearly_retained_earnings_sched118,unappropriated_undistributed_subsidiary_earnings_previous_year,False,,,,
core_ferc1__yearly_utility_plant_summary_sched200,abandonment_of_leases,False,,,,"cost may be recovered, but with no return"
core_ferc1__yearly_utility_plant_summary_sched200,amortization_and_depletion_of_producing_natural_gas_land_and_land_rights_utility_plant_in_service,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,amortization_and_depletion_utility_plant_leased_to_others,False,,,,"lease revenue should cover amortization, not ratepayers."
core_ferc1__yearly_utility_plant_summary_sched200,amortization_of_other_utility_plant_utility_plant_in_service,True,,,,specific to intangible plant
core_ferc1__yearly_utility_plant_summary_sched200,amortization_of_plant_acquisition_adjustment,True,,,,"in some cases, return of capital is allowed without return"
core_ferc1__yearly_utility_plant_summary_sched200,amortization_of_underground_storage_land_and_land_rights_utility_plant_in_service,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,amortization_utility_plant_held_for_future_use,False,,,,not used and useful
core_ferc1__yearly_utility_plant_summary_sched200,construction_work_in_progress,False,,,,most commisions do not allow CWIP in rate base; but large projects can be exceptions
core_ferc1__yearly_utility_plant_summary_sched200,depreciation_amortization_and_depletion_utility_plant_leased_to_others,False,,,,"lease revenue should cover depreciation & amortization, not ratepayers."
core_ferc1__yearly_utility_plant_summary_sched200,depreciation_and_amortization_utility_plant_held_for_future_use,False,,,,not used and useful
core_ferc1__yearly_utility_plant_summary_sched200,depreciation_utility_plant_held_for_future_use,False,,,,not used and useful
core_ferc1__yearly_utility_plant_summary_sched200,depreciation_utility_plant_in_service,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,depreciation_utility_plant_leased_to_others,False,,,,"lease revenue should cover depreciation, not ratepayers."
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_acquisition_adjustment,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_held_for_future_use,False,,,,not used and useful
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_classified_and_property_under_capital_leases,False,,,,"lease revenue should cover capital costs, not ratepayers."
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_completed_construction_not_classified,True,,,,temporary holding account until costs gets allocated to another classification
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_experimental_plant_unclassified,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_in_service_plant_purchased_or_sold,True,,,,
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_leased_to_others,False,,,,"lease revenue should cover capital costs, not ratepayers."
core_ferc1__yearly_balance_sheet_assets_sched110,deferred_debits,False,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,assets_and_other_debits,False,,,,
core_ferc1__yearly_utility_plant_summary_sched200,utility_plant_and_construction_work_in_progress_subdimension,False,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,deferred_credits,False,,,,
