table_name_parent,xbrl_factoid_parent,table_name,xbrl_factoid,weight,utility_type,plant_function,plant_status
core_ferc1__yearly_balance_sheet_assets,current_and_accrued_assets,core_ferc1__yearly_balance_sheet_assets,noncurrent_portion_of_allowances,,,,
core_ferc1__yearly_balance_sheet_assets,deferred_debits,core_ferc1__yearly_balance_sheet_assets,preliminary_natural_gas_survey_and_investigation_charges,1.0,,,
core_ferc1__yearly_balance_sheet_assets,deferred_debits,core_ferc1__yearly_balance_sheet_assets,preliminary_natural_gas_and_other_survey_and_investigation_charges,1.0,,,
core_ferc1__yearly_balance_sheet_assets,nuclear_fuel_net,core_ferc1__yearly_balance_sheet_assets,nuclear_fuel,1.0,,,
core_ferc1__yearly_balance_sheet_assets,nuclear_fuel_net,nuclear_fuel_materials_ferc1,nuclear_fuel_materials_and_assemblies,,,,
core_ferc1__yearly_balance_sheet_assets,nuclear_fuel_net,nuclear_fuel_materials_ferc1,spent_nuclear_fuel,,,,
core_ferc1__yearly_balance_sheet_assets,other_property_and_investments,core_ferc1__yearly_balance_sheet_assets,special_funds_all,1.0,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_balance_sheet_assets,construction_work_in_progress,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_balance_sheet_assets,utility_plant,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,utility_plant_acquisition_adjustment,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,utility_plant_and_construction_work_in_progress,1.0,total,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,utility_plant_held_for_future_use,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified_and_unclassified,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_utility_plant_summary,utility_plant_leased_to_others,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_net,core_ferc1__yearly_balance_sheet_assets,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_net,core_ferc1__yearly_balance_sheet_assets,utility_plant_and_construction_work_in_progress,,,,
core_ferc1__yearly_balance_sheet_assets,utility_plant_net,core_ferc1__yearly_utility_plant_summary,utility_plant_net,1.0,total,,
core_ferc1__yearly_balance_sheet_liabilities,deferred_credits,core_ferc1__yearly_balance_sheet_liabilities,accumulated_deferred_income_taxes,1.0,,,
core_ferc1__yearly_balance_sheet_liabilities,retained_earnings,core_ferc1__yearly_retained_earnings,retained_earnings,1.0,,,
core_ferc1__yearly_balance_sheet_liabilities,current_and_accrued_liabilities,core_ferc1__yearly_balance_sheet_liabilities,long_term_portion_of_derivative_instrument_liabilities,,,,
core_ferc1__yearly_balance_sheet_liabilities,current_and_accrued_liabilities,core_ferc1__yearly_balance_sheet_liabilities,less_long_term_portion_of_derivative_instrument_liabilities,-1.0,,,
core_ferc1__yearly_balance_sheet_liabilities,current_and_accrued_liabilities,core_ferc1__yearly_balance_sheet_liabilities,long_term_portion_of_derivative_instrument_liabilities_hedges,,,,
core_ferc1__yearly_balance_sheet_liabilities,current_and_accrued_liabilities,core_ferc1__yearly_balance_sheet_liabilities,less_long_term_portion_of_derivative_instrument_liabilities_hedges,-1.0,,,
core_ferc1__yearly_electric_energy_sources,sources_of_energy,core_ferc1__yearly_electric_energy_sources,megawatt_hours_purchased,1.0,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,electric_expenses_hydraulic_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,hydraulic_expenses,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_electric_plant_hydraulic_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_miscellaneous_hydraulic_plant,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_reservoirs_dams_and_waterways,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_structures_hydraulic_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,maintenance_supervision_and_engineering_hydraulic_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,miscellaneous_hydraulic_power_generation_expenses,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,rents_hydraulic_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_electric_operating_expenses,water_for_power,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_hydro_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_pumped_storage_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_hydraulic_power,core_ferc1__yearly_steam_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,allowances,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,coolants_and_water,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,electric_expenses_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,fuel_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_boiler_plant_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_electric_plant_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_miscellaneous_steam_plant,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,maintenance_of_structures_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,maintenance_supervision_and_engineering_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,miscellaneous_steam_power_expenses,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,rents_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,steam_expenses_steam_power_generation,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,steam_from_other_sources,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_electric_operating_expenses,steam_transferred_credit,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_hydro_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_pumped_storage_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,power_production_expenses_steam_power,core_ferc1__yearly_steam_plants,opex_operations,,,,
core_ferc1__yearly_electric_operating_expenses,transmission_operation_expense,core_ferc1__yearly_electric_operating_expenses,load_dispatching_transmission_expense,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,forfeited_discounts,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,interdepartmental_rents,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,miscellaneous_revenue,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,miscellaneous_service_revenues,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,other_electric_revenue,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,other_miscellaneous_operating_revenues,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,regional_transmission_service_revenues,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,rent_from_electric_property,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,revenues_from_transmission_of_electricity_of_others,1.0,,,
core_ferc1__yearly_electric_operating_revenues,other_operating_revenues,core_ferc1__yearly_electric_operating_revenues,sales_of_water_and_water_power,1.0,,,
core_ferc1__yearly_electric_operating_revenues,sales_to_ultimate_consumers,core_ferc1__yearly_electric_operating_revenues,large_or_industrial,1.0,,,
core_ferc1__yearly_electric_operating_revenues,sales_to_ultimate_consumers,core_ferc1__yearly_electric_operating_revenues,small_or_commercial,1.0,,,
core_ferc1__yearly_electric_operating_revenues,sales_to_ultimate_consumers,core_ferc1__yearly_electricity_sales_by_rate_schedule,commercial_and_industrial,,,,
core_ferc1__yearly_electric_plant_depreciation_changes,ending_balance,core_ferc1__yearly_electric_plant_depreciation_changes,book_cost_of_asset_retirement_costs,1.0,,,
core_ferc1__yearly_electric_plant_depreciation_changes,ending_balance,core_ferc1__yearly_electric_plant_depreciation_changes,depreciation_provision,1.0,,,
core_ferc1__yearly_electric_plant_depreciation_changes,ending_balance,core_ferc1__yearly_electric_plant_depreciation_changes,net_charges_for_retired_plant,1.0,,,
core_ferc1__yearly_electric_plant_depreciation_changes,ending_balance,core_ferc1__yearly_electric_plant_depreciation_changes,other_adjustments_to_accumulated_depreciation,1.0,,,
core_ferc1__yearly_electric_plant_depreciation_changes,ending_balance,core_ferc1__yearly_electric_plant_depreciation_changes,starting_balance,1.0,,,
core_ferc1__yearly_income_statements,amortization_and_depletion_of_utility_plant,core_ferc1__yearly_depreciation_amortization_summary,amortization_limited_term_electric_plant,1.0,electric,total,
core_ferc1__yearly_income_statements,amortization_and_depletion_of_utility_plant,core_ferc1__yearly_depreciation_amortization_summary,amortization_other_electric_plant,1.0,electric,total,
core_ferc1__yearly_income_statements,depreciation_expense,core_ferc1__yearly_depreciation_amortization_summary,depreciation_expense,1.0,electric,total,
core_ferc1__yearly_income_statements,depreciation_expense_for_asset_retirement_costs,core_ferc1__yearly_depreciation_amortization_summary,depreciation_expense_asset_retirement,1.0,electric,total,
core_ferc1__yearly_income_statements,income_before_extraordinary_items,core_ferc1__yearly_income_statements,net_utility_operating_income,1.0,,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,distribution_maintenance_expense_electric,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,hydraulic_power_generation_maintenance_expense,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,maintenance_of_general_plant,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,nuclear_power_generation_maintenance_expense,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,other_power_generation_maintenance_expense,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,regional_market_maintenance_expense,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,steam_power_generation_maintenance_expense,1.0,electric,,
core_ferc1__yearly_income_statements,maintenance_expense,core_ferc1__yearly_electric_operating_expenses,transmission_maintenance_expense_electric,1.0,electric,,
core_ferc1__yearly_income_statements,operating_revenues,core_ferc1__yearly_electric_operating_revenues,electric_operating_revenues,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,administrative_and_general_operation_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,customer_account_expenses,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,customer_service_and_information_expenses,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,distribution_operation_expenses_electric,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,hydraulic_power_generation_operations_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,nuclear_power_generation_operations_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,other_power_generation_operations_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,regional_market_operation_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,sales_expenses,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,steam_power_generation_operations_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,transmission_operation_expense,1.0,electric,,
core_ferc1__yearly_income_statements,operation_expense,core_ferc1__yearly_electric_operating_expenses,power_production_expenses,1.0,electric,,
core_ferc1__yearly_income_statements,other_income_deductions,core_ferc1__yearly_income_statements,miscellaneous_deductions,1.0,,,
core_ferc1__yearly_income_statements,taxes_on_other_income_and_deductions,core_ferc1__yearly_income_statements,investment_tax_credits,-1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,distribution_plant,1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,general_plant,1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,intangible_plant,1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,production_plant,1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,transmission_and_market_operation_plant_regional_transmission_and_market_operation_plant,1.0,,,
core_ferc1__yearly_plant_in_service,electric_plant_in_service_and_completed_construction_not_classified_electric,core_ferc1__yearly_plant_in_service,transmission_plant,1.0,,,
core_ferc1__yearly_retained_earnings,appropriated_retained_earnings_including_reserve_amortization,core_ferc1__yearly_retained_earnings,appropriated_retained_earnings,1.0,,,
core_ferc1__yearly_retained_earnings,appropriated_retained_earnings_including_reserve_amortization,core_ferc1__yearly_retained_earnings,appropriated_retained_earnings_amortization_reserve_federal,1.0,,,
core_ferc1__yearly_retained_earnings,retained_earnings,core_ferc1__yearly_retained_earnings,appropriated_retained_earnings_including_reserve_amortization,1.0,,,
core_ferc1__yearly_retained_earnings,retained_earnings,core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,adjustments_to_retained_earnings_credit,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,adjustments_to_retained_earnings_debit,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,appropriations_of_retained_earnings,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,balance_transferred_from_income,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,dividends_declared_common_stock,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,dividends_declared_preferred_stock,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,transfers_from_unappropriated_undistributed_subsidiary_earnings,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings,core_ferc1__yearly_retained_earnings,unappropriated_retained_earnings_previous_year,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings,core_ferc1__yearly_retained_earnings,changes_unappropriated_undistributed_subsidiary_earnings_credits,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings,core_ferc1__yearly_retained_earnings,dividends_received,-1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings,core_ferc1__yearly_retained_earnings,equity_in_earnings_of_subsidiary_companies,1.0,,,
core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings,core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings_previous_year,1.0,,,
core_ferc1__yearly_balance_sheet_liabilities,unappropriated_undistributed_subsidiary_earnings,core_ferc1__yearly_retained_earnings,unappropriated_undistributed_subsidiary_earnings,1.0,,,
core_ferc1__yearly_utility_plant_summary,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,core_ferc1__yearly_utility_plant_summary,depreciation_amortization_and_depletion_utility_plant_in_service,,,,
core_ferc1__yearly_utility_plant_summary,depreciation_utility_plant_in_service,core_ferc1__yearly_electric_plant_depreciation_functional,accumulated_depreciation,1.0,electric,total,in_service
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified_and_unclassified,core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified,,,,
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified_and_unclassified,core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified_and_property_under_capital_leases,1.0,,,
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_classified_and_unclassified,core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_property_under_capital_leases,,,,
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_experimental_plant_unclassified,core_ferc1__yearly_plant_in_service,experimental_electric_plant_unclassified,1.0,electric,,
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_plant_purchased_or_sold,core_ferc1__yearly_plant_in_service,electric_plant_purchased,1.0,electric,,
core_ferc1__yearly_utility_plant_summary,utility_plant_in_service_plant_purchased_or_sold,core_ferc1__yearly_plant_in_service,electric_plant_sold,-1.0,electric,,
core_ferc1__yearly_utility_plant_summary,utility_plant_and_construction_work_in_progress,core_ferc1__yearly_balance_sheet_assets,utility_plant,,,,
